"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","operatorValidSubtract()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsValidOperatorTest","com.calculator.components.calculator.IsValidOperatorTest","operatorValidSubtract"
"","2","testDesimalNegatif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNotDividedByZeroTest","com.calculator.components.calculator.IsNotDividedByZeroTest","testDesimalNegatif"
"","3","testOperatorBagi()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.GetOperatorTest","com.calculator.components.display.GetOperatorTest","testOperatorBagi"
"","2","testPenambahanBilanganNol()","","Sat May 03 18:44:34 WIB 2025","passed","Sat May 03 18:44:34 WIB 2025","","com.calculator.components.calculator.AddTest","com.calculator.components.calculator.AddTest","testPenambahanBilanganNol"
"","4","testMengujiPembagianDenganNol()","","Sat May 03 18:44:35 WIB 2025","failed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.InputTest","com.calculator.components.display.InputTest","testMengujiPembagianDenganNol"
"","0","testPenguranganBilanganPositif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.SubtractTest","com.calculator.components.calculator.SubtractTest","testPenguranganBilanganPositif"
"","1","testNegativeInteger()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.StringToDoubleTest","com.calculator.components.calculator.StringToDoubleTest","testNegativeInteger"
"","1","testPositiveDecimal()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.StringToDoubleTest","com.calculator.components.calculator.StringToDoubleTest","testPositiveDecimal"
"","2","PembagianBerhasilNolDanBilanganPositif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.DivideTest","com.calculator.components.calculator.DivideTest","PembagianBerhasilNolDanBilanganPositif"
"","2","testInputAngkaPertamaDiatasRange()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.InputTest","com.calculator.components.display.InputTest","testInputAngkaPertamaDiatasRange"
"","1","testStringValidDecimal()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.StringToDoubleTest","com.calculator.components.calculator.StringToDoubleTest","testStringValidDecimal"
"","1","testInputKarakterPadaInputKedua()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.InputTest","com.calculator.components.display.InputTest","testInputKarakterPadaInputKedua"
"","2","operasiPerkalianBerhasilTerpanggil()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.CalculateTest","com.calculator.components.calculator.CalculateTest","operasiPerkalianBerhasilTerpanggil"
"","2","PembagianBerhasilNegatifdanNegatif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.DivideTest","com.calculator.components.calculator.DivideTest","PembagianBerhasilNegatifdanNegatif"
"","1","operasiPenambahanBerhasilTerpanggil()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.CalculateTest","com.calculator.components.calculator.CalculateTest","operasiPenambahanBerhasilTerpanggil"
"","2","PembagianBerhasilPembagiBukanNol()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.DivideTest","com.calculator.components.calculator.DivideTest","PembagianBerhasilPembagiBukanNol"
"","17","testMengujiValidBatasAtas()","","Sat May 03 18:44:35 WIB 2025","failed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.InputTest","com.calculator.components.display.InputTest","testMengujiValidBatasAtas"
"","1","operatorValidDivide()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsValidOperatorTest","com.calculator.components.calculator.IsValidOperatorTest","operatorValidDivide"
"","1","testStringValidInteger()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.StringToDoubleTest","com.calculator.components.calculator.StringToDoubleTest","testStringValidInteger"
"","2","testDesimalPositif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNotDividedByZeroTest","com.calculator.components.calculator.IsNotDividedByZeroTest","testDesimalPositif"
"","17","testDisplayHeader()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.DisplayHeaderTest","com.calculator.components.display.DisplayHeaderTest","testDisplayHeader"
"","1","PembagianBerhasilBilanganPositifDanNegatif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.DivideTest","com.calculator.components.calculator.DivideTest","PembagianBerhasilBilanganPositifDanNegatif"
"","2","testEdgeMinPlusOne()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNumberValidTest","com.calculator.components.calculator.IsNumberValidTest","testEdgeMinPlusOne"
"","1","testPerkalianBilanganPositif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.MultiplyTest","com.calculator.components.calculator.MultiplyTest","testPerkalianBilanganPositif"
"","1","testEdgeMinValidRange()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNumberValidTest","com.calculator.components.calculator.IsNumberValidTest","testEdgeMinValidRange"
"","2","PembagianBerhasilBilanganNegatifDanPositif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.DivideTest","com.calculator.components.calculator.DivideTest","PembagianBerhasilBilanganNegatifDanPositif"
"","1","testPositiveInteger()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.StringToDoubleTest","com.calculator.components.calculator.StringToDoubleTest","testPositiveInteger"
"","7","PembagianGagalPembagiNol()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.DivideTest","com.calculator.components.calculator.DivideTest","PembagianGagalPembagiNol"
"","1","testStringInvalidCharacters()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.StringToDoubleTest","com.calculator.components.calculator.StringToDoubleTest","testStringInvalidCharacters"
"","1","testNumberInValidRange()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNumberValidTest","com.calculator.components.calculator.IsNumberValidTest","testNumberInValidRange"
"","1","testZeroDecimal()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.StringToDoubleTest","com.calculator.components.calculator.StringToDoubleTest","testZeroDecimal"
"","2","testEdgeNegativeOutOfRange()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNumberValidTest","com.calculator.components.calculator.IsNumberValidTest","testEdgeNegativeOutOfRange"
"","1","testPerkalianBilanganPositifNol()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.MultiplyTest","com.calculator.components.calculator.MultiplyTest","testPerkalianBilanganPositifNol"
"","27","testPenambahanBilanganPositifDanNegatif()","","Sat May 03 18:44:34 WIB 2025","passed","Sat May 03 18:44:34 WIB 2025","","com.calculator.components.calculator.AddTest","com.calculator.components.calculator.AddTest","testPenambahanBilanganPositifDanNegatif"
"","3","testInputAngkaPertamaDibawahRange()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.InputTest","com.calculator.components.display.InputTest","testInputAngkaPertamaDibawahRange"
