"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","testPerkalianBilanganPositifNegatif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.MultiplyTest","com.calculator.components.calculator.MultiplyTest","testPerkalianBilanganPositifNegatif"
"","1","testOperatorKurang()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.GetOperatorTest","com.calculator.components.display.GetOperatorTest","testOperatorKurang"
"","2","testEdgeMinusOne()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNotDividedByZeroTest","com.calculator.components.calculator.IsNotDividedByZeroTest","testEdgeMinusOne"
"","4","testInputAngkaKeduaDibawahRange()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.InputTest","com.calculator.components.display.InputTest","testInputAngkaKeduaDibawahRange"
"","3","testPenambahanBilanganPositif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.AddTest","com.calculator.components.calculator.AddTest","testPenambahanBilanganPositif"
"","1","testPembagiBukanNol()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNotDividedByZeroTest","com.calculator.components.calculator.IsNotDividedByZeroTest","testPembagiBukanNol"
"","1","testNegativeDecimal()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.StringToDoubleTest","com.calculator.components.calculator.StringToDoubleTest","testNegativeDecimal"
"","1","operatorInvalid()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsValidOperatorTest","com.calculator.components.calculator.IsValidOperatorTest","operatorInvalid"
"","5","operasiGagalOperatorTidakValid()","","Sat May 03 18:44:35 WIB 2025","broken","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.CalculateTest","com.calculator.components.calculator.CalculateTest","operasiGagalOperatorTidakValid"
"","1","testPenguranganBilanganNol()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.SubtractTest","com.calculator.components.calculator.SubtractTest","testPenguranganBilanganNol"
"","7","testOperatorTidakValid()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.GetOperatorTest","com.calculator.components.display.GetOperatorTest","testOperatorTidakValid"
"","2","testOperatorKali()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.GetOperatorTest","com.calculator.components.display.GetOperatorTest","testOperatorKali"
"","3","testInputAngkaKeduaDiatasRange()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.InputTest","com.calculator.components.display.InputTest","testInputAngkaKeduaDiatasRange"
"","1","testPerkalianBilanganNegatif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.MultiplyTest","com.calculator.components.calculator.MultiplyTest","testPerkalianBilanganNegatif"
"","1","testInputNotNumber()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNumberValidTest","com.calculator.components.calculator.IsNumberValidTest","testInputNotNumber"
"","5","testInputKarakterPadaAngkaPertama()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.InputTest","com.calculator.components.display.InputTest","testInputKarakterPadaAngkaPertama"
"","2","testNumberOutOfRange()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNumberValidTest","com.calculator.components.calculator.IsNumberValidTest","testNumberOutOfRange"
"","3","operasiPenguranganBerhasilTerpanggil()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.CalculateTest","com.calculator.components.calculator.CalculateTest","operasiPenguranganBerhasilTerpanggil"
"","1","testEdgeMaxPlusOne()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNumberValidTest","com.calculator.components.calculator.IsNumberValidTest","testEdgeMaxPlusOne"
"","2","testEdgePlusOne()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNotDividedByZeroTest","com.calculator.components.calculator.IsNotDividedByZeroTest","testEdgePlusOne"
"","1","operatorValidAdd()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsValidOperatorTest","com.calculator.components.calculator.IsValidOperatorTest","operatorValidAdd"
"","1","testPerkalianBilanganNol()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.MultiplyTest","com.calculator.components.calculator.MultiplyTest","testPerkalianBilanganNol"
"","3","testEdgeMaxValidRange()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNumberValidTest","com.calculator.components.calculator.IsNumberValidTest","testEdgeMaxValidRange"
"","1","testPembagiNol()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNotDividedByZeroTest","com.calculator.components.calculator.IsNotDividedByZeroTest","testPembagiNol"
"","2","testPenambahanBilanganNegatif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.AddTest","com.calculator.components.calculator.AddTest","testPenambahanBilanganNegatif"
"","2","testZero()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.StringToDoubleTest","com.calculator.components.calculator.StringToDoubleTest","testZero"
"","1","testStringMixedCharacters()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.StringToDoubleTest","com.calculator.components.calculator.StringToDoubleTest","testStringMixedCharacters"
"","2","testPenguranganBilanganNegatif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.SubtractTest","com.calculator.components.calculator.SubtractTest","testPenguranganBilanganNegatif"
"","2","operasiPembagianBerhasilTerpanggil()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.CalculateTest","com.calculator.components.calculator.CalculateTest","operasiPembagianBerhasilTerpanggil"
"","3","testMengujiValidBatasBawah()","","Sat May 03 18:44:35 WIB 2025","failed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.InputTest","com.calculator.components.display.InputTest","testMengujiValidBatasBawah"
"","1","operatorValidMultiply()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsValidOperatorTest","com.calculator.components.calculator.IsValidOperatorTest","operatorValidMultiply"
"","2","testPenguranganBilanganPositifNegatif()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.SubtractTest","com.calculator.components.calculator.SubtractTest","testPenguranganBilanganPositifNegatif"
"","2","testEdgeMaxMinusOne()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.calculator.IsNumberValidTest","com.calculator.components.calculator.IsNumberValidTest","testEdgeMaxMinusOne"
"","1","testOperatorTambah()","","Sat May 03 18:44:35 WIB 2025","passed","Sat May 03 18:44:35 WIB 2025","","com.calculator.components.display.GetOperatorTest","com.calculator.components.display.GetOperatorTest","testOperatorTambah"
